Title,product_id,ISSN print,ISSN electronic,Imprint,"Primary Language",Open Access,Comment,License,standard workflow July 18,"Production Editor"
"memo - Magazine of EuropeanMedical Oncology",12254,1865-5041,1865-5076,SpringerMedizin,English,Hybrid (Open Choice),,CC BY,standard,"Häseler,Angelika"
Memory & Cognition,13421,0090-502X,1532-5946,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Seidenfeld,David"
Metabolic Brain Disease,11011,0885-7490,1573-7365,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Alejo, Mildred"
Metabolomics,11306,,1573-3890,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ramachandran,Bharathi"
Metacognition and Learning,11409,1556-1623,1556-1631,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Panday,Leonora"
Metaheuristics,42257,2522-8986,2522-8994,Springer,English,Hybrid (Open Choice),New Start in 2019.,CC BY,standard,"Dilger, Julia"
"Metallography, Microstructure,and Analysis",13632,2192-9262,2192-9270,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Weaver, Janice"
"Metallurgical and MaterialsTransactions A",11661,1073-5623,1543-1940,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Borgenicht, Jodi"
"Metallurgical and MaterialsTransactions B",11663,1073-5615,1543-1916,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Langlois, James"
"Metals and MaterialsInternational",12540,1598-9623,2005-4149,"The Korean Institute of Metalsand Materials, co-published withSpringer",English,Hybrid (Open Choice),,CC BY,standard,"Dilger, Julia"
"Meteorology and AtmosphericPhysics",703,0177-7971,1436-5065,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Reddy, Srikanth"
"Methodology and Computing inApplied Probability",11009,1387-5841,1573-7713,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Cataylo, Arlie"
Metrika,184,0026-1335,1435-926X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gaur, Sumintra"
METRON,40300,0026-1424,2281-695X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Wieland, Bernd"
Microbial Ecology,248,0095-3628,1432-184X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Asejo, Aila"
Microchimica Acta,604,0026-3672,1436-5073,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Villarosa,Joseph"
Microfluidics and Nanofluidics,10404,1613-4982,1613-4990,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vijayaraghunathan, Preetha"
"Microgravity Science andTechnology",12217,0938-0108,1875-0494,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Parcon, Jennyca"
Microsystem Technologies,542,0946-7076,1432-1858,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sureshkumar,Deepika"
Milan Journal of Mathematics,32,1424-9286,1424-9294,Birkhäuser,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Vijayaraghunathan, Preetha"
Mind & Society,11299,1593-7879,1860-1839,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Gaur, Sumintra"
Mindfulness,12671,1868-8527,1868-8535,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gramatica,Rosario"
Minds and Machines,11023,0924-6495,1572-8641,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Arcot,Shrivatsan"
Mine Water and the Environment,10230,1025-9112,1616-1068,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Reddy, Srikanth"
Mineral Economics,13563,2191-2203,2191-2211,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vogel, Andreas"
Mineralium Deposita,126,0026-4598,1432-1866,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dagoy, Igan"
Mineralogy and Petrology,710,0930-0708,1438-1168,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Fabe, Junlen"
Minerva,11024,0026-4695,1573-1871,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Parasuraman,Baskaran"
"Mining, Metallurgy & Exploration",42461,2524-3462,2524-3470,Springer,English,Hybrid (Open Choice),Take-over in 2019.,CC BY,non-standard,
"Mitigation and AdaptationStrategies for Global Change",11027,1381-2386,1573-1596,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Boy Cutamora,Barney"
Der MKG-Chirurg,12285,1865-9659,1865-9667,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Meyer-VomHagen, Petra"
"Mobile Networks andApplications",11036,1383-469X,1572-8153,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Panday,Leonora"
"Modeling Earth Systems andEnvironment",40808,,2363-6211,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Treiber, Petra"
Molecular Biology Reports,11033,,1573-4978,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Franco, Frank"
Molecular Biotechnology,12033,,1559-0305,Humana Press,English,Hybrid (Open Choice),,CC BY,standard,"Chandrasekar,Priya"
Molecular Breeding,11032,1380-3743,1572-9788,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Boy Cutamora,Barney"
"Molecular and CellularBiochemistry",11010,0300-8177,1573-4919,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Selvaraj,Ambiga"
Molecular Diagnosis & Therapy,40291,1177-1062,1179-2000,Adis,English,Hybrid (Open Choice),,CC BY-NC,standard,"Shanmugam,Revathi"
Molecular Diversity,11030,,1573-501X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Selvaraj, Devi"
Molecular Genetics and Genomics,438,1617-4615,1617-4623,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Govindaswamy,Muralidaran"
Molecular Imaging and Biology,11307,1536-1632,1860-2002,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Cerami, Joe"
Molecular Neurobiology,12035,0893-7648,1559-1182,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bascon, Yvette"
Monash Bioethics Review,40592,1321-2753,1836-6716,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vloemans,Hermine"
"Monatshefte für Chemie -Chemical Monthly",706,0026-9247,1434-4475,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Daum, Jutta"
Monatshefte für Mathematik,605,0026-9255,1436-5081,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Verma, Priya"
Monatsschrift Kinderheilkunde,112,0026-9298,1433-0474,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,standard,"Kehl, Claudia"
Morphology,11525,1871-5621,1871-5656,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pieren, Eric"
Motivation and Emotion,11031,0146-7239,1573-6644,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Devakumar,Radika"
Multibody System Dynamics,11044,1384-5640,1573-272X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"van Dijl, Stefan"
"Multidimensional Systems andSignal Processing",11045,0923-6082,1573-0824,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nagaraj, Govind"
"Multimedia Tools andApplications",11042,1380-7501,1573-7721,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gerona, Razel"
"Multiscale and MultidisciplinaryModeling, Experiments andDesign",41939,2520-8160,2520-8179,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,standard,"Winter-Todorov,Christiane"
"Multiscale Science andEngineering",42493,2524-4515,2524-4523,Springer,English,Hybrid (Open Choice),New Start in 2019.,CC BY,non-standard,"Dilger, Julia"
MUSCULOSKELETAL SURGERY,12306,,2035-5114,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sundaram,Anburaj"
Mycological Progress,11557,,1861-8952,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ariaga-Cabahug, LeahMae"
Mycopathologia,11046,0301-486X,1573-0832,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Arcot,Shrivatsan"
Mycorrhiza,572,0940-6360,1432-1890,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bajar, Mar-Jhon"
Mycotoxin Research,12550,0178-7888,1867-1632,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Badon,Journaliz"
"NachhaltigkeitsManagementForum | Sustainability ManagementForum",550,2522-5987,2522-5995,Springer,German,Hybrid (Open Choice),,CC BY,standard,"Daum, Jutta"
Nano Research,12274,1998-0124,1998-0000,"Tsinghua University Press, co-published with Springer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
NanoEthics,11569,1871-4757,1871-4765,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Parcon, Jennyca"
"Nanomanufacturing andMetrology",41871,2520-811X,2520-8128,"International Society forNanomanufacturing and TianjinUniversity, co-published withSpringer",English,Hybrid (Open Choice),New Start in 2018.,CC BY,standard,"Daum, Jutta"
"Nanotechnology forEnvironmental Engineering",41204,2365-6379,2365-6387,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dimler, Gertrud"
National Academy Science Letters,40009,0250-541X,2250-1754,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Maharajan,Suganya"
Natur und Recht,10357,0172-1631,1439-0515,Springer,German,Hybrid (Open Choice),,CC BY,non-standard,"Uhl, Beate"
Natural Computing,11047,,1572-9796,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Somasundaram,Aravind"
Natural Hazards,11069,0921-030X,1573-0840,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Franco, Frank"
"Natural Language & LinguisticTheory",11049,0167-806X,1573-0859,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pieren, Eric"
Natural Language Semantics,11050,0925-854X,1572-865X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Selvaraj, Devi"
Natural Resources Research,11053,1520-7439,1573-8981,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pesala,Nandhini"
"Naunyn-Schmiedeberg's Archivesof Pharmacology",210,0028-1298,1432-1912,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ariaga-Cabahug, LeahMae"
Neohelicon,11059,0324-4652,1588-2810,"Akadémiai Kiadó, co-publishedwith Springer",English,Hybrid (Open Choice),,CC BY,standard,"Pieren, Eric"
Neophilologus,11061,0028-2677,1572-8668,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Fathima,Jasmine"
Neotropical Entomology,13744,1519-566X,1678-8052,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Lichtveld,Pauline"
Der Nephrologe,11560,1862-040X,1862-0418,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Leader, Marion"
Der Nervenarzt,115,0028-2804,1433-0407,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,standard,"Meyer-VomHagen, Petra"
"Netherlands International LawReview",40802,0165-070X,1741-6191,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Vogel, Andreas"
"NETNOMICS: Economic Researchand Electronic Networking",11066,1385-9587,1573-7071,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Villahermosa,Dennis"
"Network Modeling Analysis inHealth Informatics andBioinformatics",13721,,2192-6670,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Namperumal,Citra"
Networks and Spatial Economics,11067,1566-113X,1572-9427,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Janguin, Emilie"
Neue Politische Literatur,42520,0028-3320,,Springer VS,German,Hybrid (Open Choice),Take-over in 2019.,CC BY,non-standard,"Schneider,Isabell"
"Neural Computing andApplications",521,0941-0643,1433-3058,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dharmalingam,Shivaraman"
Neural Processing Letters,11063,1370-4621,1573-773X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Selvaraj, Devi"
Neurochemical Research,11064,0364-3190,1573-6903,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mani, Lavanya"
Neurocritical Care,12028,1541-6933,1556-0961,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Langlois, James"
Neuroethics,12152,,1874-5504,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Jolbot, Michelle"
Neuroinformatics,12021,1539-2791,1559-0089,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nieves, JonaRose Delos"
Neurological Sciences,10072,,1590-3478,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pinero, Marlon"
NeuroMolecular Medicine,12017,1535-1084,1559-1174,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Raj, Vatsala"
neuropsychiatrie,40211,0948-6259,2194-1327,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,standard,"Scheuermann,Ria"
Neuropsychology Review,11065,1040-7308,1573-6660,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Torres, Jurgen"
Neuroradiology,234,0028-3940,1432-1920,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pinero, Marlon"
Neuroscience Bulletin,12264,1673-7067,1995-8218,"Shanghai Institutes for BiologicalSciences, Chinese Academy ofSciences, co-published withSpringer",English,Hybrid (Open Choice),,CC BY,non-standard,"Dayanand,Antony"
Neurosurgical Review,10143,,1437-2320,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Badon,Journaliz"
Neurotherapeutics,13311,,1878-7479,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Triner, Annette"
Neurotoxicity Research,12640,1029-8428,1476-3524,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Cataylo, Arlie"
New Forests,11056,0169-4286,1573-5095,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Parasuraman,Baskaran"
New Generation Computing,354,0288-3635,1882-7055,"Ohmsha, co-published withSpringer",English,Hybrid (Open Choice),,CC BY,standard,"Ganesan,Remya"
"New Zealand Journal ofEducational Studies",40841,0028-8276,2199-4714,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dixit, Amit"
Nexus Network Journal,4,1590-5896,1522-4600,Birkhäuser,English,Hybrid (Open Choice),,CC BY,standard,"Wieland, Bernd"
"Nonlinear Differential Equationsand Applications NoDEA",30,1021-9722,1420-9004,Birkhäuser,English,Hybrid (Open Choice),,CC BY,standard,"Ramanathan,Elangovan"
Nonlinear Dynamics,11071,0924-090X,1573-269X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Faber,Meertinus"
Notfall +  Rettungsmedizin,10049,1434-6222,1436-0578,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,standard,"Meyer-VomHagen, Petra"
"NTM Zeitschrift für Geschichteder Wissenschaften, Technik undMedizin",48,0036-6978,1420-9144,Birkhäuser,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Uhl, Beate"
"Nuclear Medicine and MolecularImaging",13139,1869-3474,1869-3482,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Roseveare,David"
Nuclear Science and Techniques,41365,1001-8042,2210-3147,"Science Press, co-published withSpringer",English,Hybrid (Open Choice),,CC BY,non-standard,"Dayanand,Antony"
The Nucleus,13237,0029-568X,0976-7975,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nair, Abilash"
Numerical Algorithms,11075,1017-1398,1572-9265,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Villahermosa,Dennis"
Numerische Mathematik,211,0029-599X,0945-3245,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Ahmed, Sadat"
"Nutrient Cycling inAgroecosystems",10705,1385-1314,1573-0867,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Thilagam,Kasturi"
Obere Extremität,11678,1862-6599,1862-6602,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,standard,"Frey, Holger"
Obesity Surgery,11695,0960-8923,1708-0428,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Maged, Robert"
Occupational Health Science,41542,2367-0134,2367-0142,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Lazar, Margit"
Ocean Dynamics,10236,1616-7341,1616-7228,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Fabe, Junlen"
Ocean Science Journal,12601,1738-5261,2005-7172,"Korea Institute of Ocean Science& Technology and The KoreanSociety of Oceanography, co-published with Springer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
Odontology,10266,1618-1247,1618-1255,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Stella, Angeline"
Oecologia,442,0029-8549,1432-1939,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Singh, Albert"
Der Onkologe,761,0947-8965,1433-0415,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Frey, Holger"
Open Economies Review,11079,0923-7992,1573-708X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pis-an, MariaCathelyn"
Operational Research,12351,,1866-1505,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Shanmugam,Revathi"
"Operations ManagementResearch",12063,,1936-9743,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pis-an, MariaCathelyn"
"Operative Orthopädie undTraumatologie",64,0934-6694,1439-0981,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,standard,"Kehl, Claudia"
Der Ophthalmologe,347,0941-293X,1433-0423,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,standard,"Jung, Amelie"
OPSEARCH,12597,0030-3887,0975-0320,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nair, Abilash"
Optical and Quantum Electronics,11082,0306-8919,1572-817X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Thilagam,Kasturi"
Optimization and Engineering,11081,1389-4420,1573-2924,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Fathima,Jasmine"
Optimization Letters,11590,1862-4472,1862-4480,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Balaji, Dhivya"
OR Spectrum,291,0171-6468,1436-6304,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gaur, Sumintra"
Oral Cancer,41548,,2509-8837,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Scheuermann,Ria"
Oral and Maxillofacial Surgery,10006,,1865-1569,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Badon,Journaliz"
Oral Radiology,11282,0911-6028,1613-9674,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Somasundaram,Aravind"
Order,11083,0167-8094,1572-9273,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mortillero, Jill"
Organic Agriculture,13165,1879-4238,1879-4246,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Macajelos, Juvy"
"Organisationsberatung,Supervision, Coaching",11613,1618-808X,1862-2577,Springer,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Litterer, Marina"
Organisms Diversity & Evolution,13127,1439-6092,1618-1077,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bajar, Mar-Jhon"
"Organizational Design andEnterprise Engineering",41251,2367-3567,2367-3575,Springer,English,Hybrid (Open Choice),"Ceases publication aftercompletion of Vol. 2 (2018).",CC BY,standard,"Uhl, Beate"
"Oriental Pharmacy andExperimental Medicine",13596,1598-2386,2211-1069,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sekar, Anu"
"Origins of Life and Evolution ofBiospheres",11084,0169-6149,1573-0875,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mercullo,Kenneth"
Der Orthopäde,132,0085-4530,1433-0431,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,standard,"Hart, Kerstin"
Osteoporosis International,198,0937-941X,1433-2965,Springer,English,Hybrid (Open Choice),,CC BY-NC,standard,"Roseveare,David"
"Österreichische Wasser- undAbfallwirtschaft",506,0945-358X,1613-7566,Springer,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Leader, Marion"
"Österreichische Zeitschrift fürSoziologie",11614,1011-0070,1862-2585,Springer VS,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Litterer, Marina"
Oxidation of Metals,11085,0030-770X,1573-4889,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ponnusamy,Ganesh"
Paddy and Water Environment,10333,1611-2490,1611-2504,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Arcot,Shrivatsan"
Pädiatrie & Pädologie,608,0030-9338,1613-7558,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Wagner, Anna"
"Palaeobiodiversity andPalaeoenvironments",12549,1867-1594,1867-1608,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Muenzenmayer,Klaus"
PalZ,12542,0031-0220,1867-6812,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Varghese,Beulah"
Parasitology Research,436,0932-0113,1432-1955,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Badon,Journaliz"
Pastoral Psychology,11089,0031-2789,1573-6679,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Panday,Leonora"
Der Pathologe,292,0172-8113,1432-1963,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,standard,"Meyer-VomHagen, Petra"
Pathology & Oncology Research,12253,1219-4956,1532-2807,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Jolbot, Michelle"
"The Patient - Patient-CenteredOutcomes Research",40271,1178-1653,1178-1661,Adis,English,Hybrid (Open Choice),,CC BY-NC,standard,"Thiagaraj,Pressila"
Pattern Analysis and Applications,10044,1433-7541,1433-755X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ahmed, Sadat"
Pediatric Cardiology,246,0172-0643,1432-1971,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Inbasigamoni,Velmuguran"
Pediatric Drugs,40272,1174-5878,1179-2019,Adis,English,Hybrid (Open Choice),,CC BY-NC,standard,"Thiagaraj,Pressila"
Pediatric Nephrology,467,0931-041X,1432-198X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Jung, Amelie"
Pediatric Radiology,247,0301-0449,1432-1998,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pinero, Marlon"
Pediatric Surgery International,383,0179-0358,1437-9813,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ratnabai,Sumathi"
"Peer-to-Peer Networking andApplications",12083,,1936-6450,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gramatica,Rosario"
Peking Mathematical Journal,42543,,,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,non-standard,
Periodica Mathematica Hungarica,10998,0031-5303,1588-2829,"Akadémiai Kiadó, co-publishedwith Springer",English,Hybrid (Open Choice),,CC BY,standard,"Pieren, Eric"
"Personal and UbiquitousComputing",779,1617-4909,1617-4917,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Marino, Irish"
"PFG – Journal ofPhotogrammetry, Remote Sensingand Geoinformation Science",41064,2512-2789,2512-2819,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Daum, Jutta"
"Pflügers Archiv - EuropeanJournal of Physiology",424,0031-6768,1432-2013,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pinero, Marlon"
Pharmaceutical Research,11095,0724-8741,1573-904X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Darnowsky,Robert"
PharmacoEconomics,40273,1170-7690,1179-2027,Adis,English,Hybrid (Open Choice),,CC BY-NC,standard,"Thiagaraj,Pressila"
"PharmacoEconomics SpanishResearch Articles",40277,,1989-5453,Adis,Spanish,Hybrid (Open Choice),"Ceases publication aftercompletion of volume 15 (2018).",CC BY-NC,eOffprint sent; non-standard PRS:,"Schüller,Bernhard"
"Phenomenology and theCognitive Sciences",11097,1568-7759,1572-8676,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Boy Cutamora,Barney"
Philosophia,11406,0048-3893,1574-9274,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mortillero, Jill"
Philosophical Studies,11098,0031-8116,1573-0883,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Fathima,Jasmine"
Philosophy of Management,40926,1740-3812,2052-9597,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vloemans,Hermine"
Philosophy & Technology,13347,2210-5433,2210-5441,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Boy Cutamora,Barney"
"Photonic NetworkCommunications",11107,1387-974X,1572-8188,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Devakumar,Radika"
Photosynthesis Research,11120,0166-8595,1573-5079,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Faber,Meertinus"
Photosynthetica,11099,0300-3604,1573-9058,Springer,English,Hybrid (Open Choice),"No longer published bySpringerNature as of completionof volume 56 (2018).",CC BY,non-standard,"Rentmeester,Esther"
Physics and Chemistry of Minerals,269,0342-1791,1432-2021,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Rajagopal, Balaji"
Physics in Perspective,16,1422-6944,1422-6960,Birkhäuser,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Weigel, Thomas"
Phytochemistry Reviews,11101,1568-7767,1572-980X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Selvaraj, Devi"
Phytoparasitica,12600,0334-2123,1876-7184,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Macajelos, Juvy"
Pituitary,11102,1386-341X,1573-7403,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Baskaran,Jeevitha"
Plant Biotechnology Reports,11816,,1863-5474,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Stella, Angeline"
Plant Cell Reports,299,0721-7714,1432-203X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bala, Senthil"
"Plant Cell, Tissue and OrganCulture (PCTOC)",11240,0167-6857,1573-5044,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Faber,Meertinus"
Plant Ecology,11258,1385-0237,1573-5052,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Selvaraj,Ambiga"
Plant Foods for Human Nutrition,11130,0921-9668,1573-9104,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Janguin, Emilie"
Plant Growth Regulation,10725,0167-6903,1573-5087,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Anitha, G. V."
Plant Molecular Biology,11103,0167-4412,1573-5028,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Lichtveld,Pauline"
Plant Molecular Biology Reporter,11105,0735-9640,1572-9818,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bascon, Yvette"
Plant Reproduction,497,2194-7953,2194-7961,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pappichetty,Jayaprakash"
Plant and Soil,11104,0032-079X,1573-5036,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Macajelos, Juvy"
Plant Systematics and Evolution,606,0378-2697,2199-6881,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bala, Senthil"
Planta,425,0032-0935,1432-2048,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pappichetty,Jayaprakash"
"Plasma Chemistry and PlasmaProcessing",11090,0272-4324,1572-8986,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Devakumar,Radika"
Plasmonics,11468,,1557-1963,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Faelnar, Jean"
Der Pneumologe,10405,1613-5636,1613-6055,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Scheuermann,Ria"
Polar Biology,300,0722-4060,1432-2056,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Franco, Frank"
Policy Sciences,11077,0032-2687,1573-0891,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Thilagam,Kasturi"
Political Behavior,11109,0190-9320,1573-6687,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sathish, Malathi"
Politische Vierteljahresschrift,11615,0032-3470,1862-2860,Springer VS,German,Hybrid (Open Choice),Take-over in 2018.,CC BY,standard,"Vogel, Andreas"
