Title,Format,product_id,ISSN print,ISSN electronic,Imprint,Primary Language,Vols Qty,Scheduled Vol Nos,Single Issues per volume,Open Access,Comment
Journal of Consumer Policy,PE OF,10603,0168-7034,1573-0700,Springer,English,1,42,4,Hybrid (Open Choice),
Journal of Consumer Protection and Food Safety,PE OF S,3,1661-5751,1661-5867,Springer,English,1,14,4,Hybrid (Open Choice),
Journal of Contemporary Psychotherapy,PE OF,10879,0022-0116,1573-3564,Springer,English,1,49,4,Hybrid (Open Choice),
"Journal of Control, Automation and Electrical Systems",PE OF,40313,2195-3880,2195-3899,Springer,English,1,30,6,Hybrid (Open Choice),
Journal of Cross-Cultural Gerontology,PE OF,10823,0169-3816,1573-0719,Springer,English,1,34,4,Hybrid (Open Choice),
Journal of Cryptographic Engineering,PE OF S,13389,2190-8508,2190-8516,Springer,English,1,9,4,Hybrid (Open Choice),
Journal of Cryptology,PE OF,145,0933-2790,1432-1378,Springer,English,1,32,4,Hybrid (Open Choice),
Journal of Cultural Cognitive Science,PE,41809,2520-100X,2520-1018,Springer,English,1,3,2,Hybrid (Open Choice),
Journal of Cultural Economics,PE OF S,10824,0885-2545,1573-6997,Springer,English,1,43,4,Hybrid (Open Choice),
"Journal of Data, Information and Management",PE,42488,2524-6356,2524-6364,Springer,English,1,1,4,Hybrid (Open Choice),New Start in 2019. 
Journal on Data Semantics,PE OF,13740,1861-2032,1861-2040,Springer,English,1,8,4,Hybrid (Open Choice),
Journal of Developmental and Life-Course Criminology,PE OF S,40865,2199-4641,2199-465X,Springer,English,1,5,4,Hybrid (Open Choice),
Journal of Developmental and Physical Disabilities,PE OF,10882,1056-263X,1573-3580,Springer,English,1,31,6,Hybrid (Open Choice),
Journal of Dharma Studies,PE,42240,2522-0926,2522-0934,Springer,English,1,2,2,Hybrid (Open Choice),New Start in 2018. 
Journal of Diabetes & Metabolic Disorders,E,40200,,2251-6581,Springer,English,1,18,2,Hybrid (Open Choice),Available in electronic format only. 
Journal of Digital Imaging,PE OF S,10278,0897-1889,1618-727X,Springer,English,1,32,6,Hybrid (Open Choice),
Journal of Dynamic Behavior of Materials,PE,40870,2199-7446,2199-7454,Springer,English,1,5,4,Hybrid (Open Choice),
Journal of Dynamical and Control Systems,PE OF,10883,1079-2724,1573-8698,Springer,English,1,25,4,Hybrid (Open Choice),
Journal of Dynamics and Differential Equations,PE OF,10884,1040-7294,1572-9222,Springer,English,1,31,4,Hybrid (Open Choice),
Journal of Earth Science,PE OF,12583,1674-487X,1867-111X,"China University of Geosciences, co-published with Springer",English,1,30,6,Hybrid (Open Choice),Chinese Library of Science. 
Journal of East Asian Linguistics,PE OF,10831,0925-8558,1572-8560,Springer,English,1,28,4,Hybrid (Open Choice),
Journal of Echocardiography,PE OF S,12574,1349-0222,1880-344X,Springer,English,1,17,4,Hybrid (Open Choice),
Journal of Economic Growth,PE OF,10887,1381-4338,1573-7020,Springer,English,1,24,4,Hybrid (Open Choice),
The Journal of Economic Inequality,PE OF,10888,1569-1721,1573-8701,Springer,English,1,17,4,Hybrid (Open Choice),
Journal of Economic Interaction and Coordination,PE OF,11403,1860-711X,1860-7128,Springer,English,1,14,4,Hybrid (Open Choice),
Journal of the Economic Science Association,E OF S,40881,,2199-6784,Springer,English,1,5,2,Hybrid (Open Choice),Available in electronic format only. 
Journal of Economics,PE OF,712,0931-8658,1617-7134,Springer,English,3,126-128,3,Hybrid (Open Choice),
Journal of Economics and Finance,PE OF,12197,1055-0925,1938-9744,Springer,English,1,43,4,Hybrid (Open Choice),
"Journal of Economics, Race, and Policy",PE,41996,2520-8411,2520-842X,Springer,English,1,2,4,Hybrid (Open Choice),New Start in 2018. 
Journal of Educational Change,PE OF,10833,1389-2843,1573-1812,Springer,English,1,20,4,Hybrid (Open Choice),
Journal of Elasticity,PE OF,10659,0374-3535,1573-2681,Springer,English,4,134-137,2,Hybrid (Open Choice),
Journal of Electrical Engineering & Technology,PE,42835,1975-0102,2093-7423,"The Korean Institute of Electrical Engineers, co-publishing with Springer",English,1,14,6,Hybrid (Open Choice),Addendum Journals List: Take-over in 2019. Former publisher: The Korean Institute of Electrical Engineers. 
Journal of Electroceramics,PE OF S,10832,1385-3449,1573-8663,Springer,English,2,42-43,4,Hybrid (Open Choice),
Journal of Electronic Materials,PE OF,11664,0361-5235,1543-186X,Springer,English,1,48,12,Hybrid (Open Choice),
Journal of Electronic Testing,PE OF,10836,0923-8174,1573-0727,Springer,English,1,35,6,Hybrid (Open Choice),
Journal of Elliptic and Parabolic Equations,PE OF,41808,2296-9020,2296-9039,Birkhäuser,English,1,5,2,Hybrid (Open Choice),
Journal of Endocrinological Investigation,E OF S,40618,,1720-8386,Springer,English,1,42,12,Hybrid (Open Choice),Available in electronic format only. 
Journal of Engineering Mathematics,PE OF,10665,0022-0833,1573-2703,Springer,English,6,114-119,1,Hybrid (Open Choice),
Journal of Environmental Health Science and Engineering,E,40201,,2052-336X,Springer,English,1,17,2,Hybrid (Open Choice),Available in electronic format only. 
Journal of Environmental Studies and Sciences,PE,13412,2190-6483,2190-6491,Springer,English,1,9,4,Hybrid (Open Choice),
The Journal of Ethics,PE OF,10892,1382-4554,1572-8609,Springer,English,1,23,4,Hybrid (Open Choice),
Journal of Ethology,PE OF S,10164,0289-0771,1439-5444,Springer,English,1,37,3,Hybrid (Open Choice),
Journal of Evolution Equations,PE OF,28,1424-3199,1424-3202,Birkhäuser,English,1,19,4,Hybrid (Open Choice),
Journal of Evolutionary Economics,PE OF S,191,0936-9937,1432-1386,Springer,English,1,29,5,Hybrid (Open Choice),
Journal of Experimental Criminology,PE OF S,11292,1573-3750,1572-8315,Springer,English,1,15,4,Hybrid (Open Choice),
Journal of Exposure Science & Environmental Epidemiology,PE,41370,1559-0631,1559-064X,Springer Nature,English,1,29,6,Hybrid (Open Choice),Online version only available through an institutional license. 
Journal of Failure Analysis and Prevention,PE OF,11668,1547-7029,1864-1245,Springer,English,1,19,6,Hybrid (Open Choice),
Journal of Family and Economic Issues,PE OF,10834,1058-0476,1573-3475,Springer,English,1,40,4,Hybrid (Open Choice),
Journal of Family Violence,PE OF,10896,0885-7482,1573-2851,Springer,English,1,34,8,Hybrid (Open Choice),
Journal of Fetal Medicine,PE OF,40556,2348-1153,2348-8859,Springer,English,1,6,4,Hybrid (Open Choice),
Journal of Financial Services Marketing,PE OF,41264,1363-0539,1479-1846,Palgrave Macmillan,English,1,24,4,Hybrid (Open Choice),Online version only available through an institutional license. 
Journal of Financial Services Research,PE OF,10693,0920-8550,1573-0735,Springer,English,2,55-56,3,Hybrid (Open Choice),
Journal of Fixed Point Theory and Applications,PE C,11784,1661-7738,1661-7746,Birkhäuser,English,1,21,4,Hybrid (Open Choice),
Journal of Flow Chemistry,PE OF,41981,2062-249X,2063-0212,"Akadémiai Kiadó, co-published with Springer",English,1,9,4,Hybrid (Open Choice),Take-over in 2018. Former publisher: Akadémiai Kiadó. No sales rights in Hungary. 
Journal of Fluorescence,E OF,10895,,1573-4994,Springer,English,1,29,6,Hybrid (Open Choice),
Journal of Food Measurement and Characterization,E OA,11694,,2193-4134,Springer,English,1,13,4,Hybrid (Open Choice),Open Access as of 2019. 
Journal of Food Science and Technology,PE OF,13197,0022-1155,0975-8402,Springer,English,1,56,12,Hybrid (Open Choice),
Journal of Forestry Research,PE OF,11676,1007-662X,1993-0607,"Northeast Forestry University, co-published with Springer",English,1,30,6,Hybrid (Open Choice),Chinese Library of Science. 
Journal of Formative Design in Learning,E OF,41686,,2509-8039,Springer,English,1,3,2,Hybrid (Open Choice),Available in electronic format only. 
Journal of Fourier Analysis and Applications,PE OF,41,1069-5869,1531-5851,Birkhäuser,English,1,25,6,Hybrid (Open Choice),
The Journal of Frailty & Aging,E OF,42415,,2273-4309,Serdi-Editions,English,1,8,4,Hybrid (Open Choice),Take-over sales co-operation in 2018. Available in electronic format only. 
Journal of Fusion Energy,PE OF S,10894,0164-0313,1572-9591,Springer,English,1,38,6,Hybrid (Open Choice),
Journal of Gambling Studies,E OF,10899,,1573-3602,Springer,English,1,35,4,Hybrid (Open Choice),
Journal für Gastroenterologische und Hepatologische Erkrankungen,PE OF,41971,1728-6263,1728-6271,SpringerMedizin,German,1,17,4,Hybrid (Open Choice),
Journal of Gastroenterology,PE OF S,535,0944-1174,1435-5922,Springer,English,1,54,12,Hybrid (Open Choice),
Journal of Gastrointestinal Cancer,E OF,12029,,1941-6636,Springer,English,1,50,4,Hybrid (Open Choice),
Journal of Gastrointestinal Surgery,PE OF,11605,1091-255X,1873-4626,Springer,English,1,23,12,Hybrid (Open Choice),
Journal of General Internal Medicine,PE OF,11606,0884-8734,1525-1497,Springer,English,1,34,12,Hybrid (Open Choice),
Journal for General Philosophy of Science,PE OF,10838,0925-4560,1572-8587,Springer,English,1,50,4,Hybrid (Open Choice),
Journal of General Plant Pathology,PE OF S,10327,1345-2630,1610-739X,Springer,English,1,85,6,Hybrid (Open Choice),
Journal of Geodesy,PE,190,0949-7714,1432-1394,Springer,English,1,93,12,Hybrid (Open Choice),
Journal of Geographical Sciences,PE OF,11442,1009-637X,1861-9568,"Science Press, co-published with Springer",English,1,29,12,Hybrid (Open Choice),Chinese Library of Science. 
Journal of Geographical Systems,PE OF,10109,1435-5930,1435-5949,Springer,English,1,21,4,Hybrid (Open Choice),
The Journal of Geometric Analysis,PE OF,12220,1050-6926,1559-002X,Springer,English,1,29,4,Hybrid (Open Choice),
Journal of Geometry,PE C,22,0047-2468,1420-8997,Birkhäuser,English,1,110,3,Hybrid (Open Choice),
Journal of Geovisualization and Spatial Analysis,PE C,41651,2509-8810,2509-8829,Springer,English,1,3,2,Hybrid (Open Choice),
Journal of Global Optimization,PE OF,10898,0925-5001,1573-2916,Springer,English,3,73-75,4,Hybrid (Open Choice),
Journal of Grid Computing,PE OF,10723,1570-7873,1572-9184,Springer,English,1,17,4,Hybrid (Open Choice),
Journal für Gynäkologische Endokrinologie/Österreich,PE,41974,1997-6690,1996-1553,SpringerMedizin,German,1,29,4,Hybrid (Open Choice),
Journal für Gynäkologische Endokrinologie/Schweiz,PE OF,41975,1995-6924,2520-8500,SpringerMedizin,German,1,22,4,Hybrid (Open Choice),
Journal of Happiness Studies,PE OF,10902,1389-4978,1573-7780,Springer,English,1,20,8,Hybrid (Open Choice),
Journal of Hardware and Systems Security,PE,41635,2509-3428,2509-3436,Springer,English,1,3,4,Hybrid (Open Choice),
Journal of Healthcare Informatics Research,PE OF,41666,2509-4971,2509-498X,Springer,English,1,3,4,Hybrid (Open Choice),
Journal of Hematopathology,E S,12308,,1865-5785,Springer,English,1,12,4,Hybrid (Open Choice),
Journal of Heuristics,PE OF,10732,1381-1231,1572-9397,Springer,English,1,25,6,Hybrid (Open Choice),
Journal of the History of Biology,PE OF,10739,0022-5010,1573-0387,Springer,English,1,52,4,Hybrid (Open Choice),
Journal of Homotopy and Related Structures,PE OF S,40062,2193-8407,1512-2891,Springer,English,1,14,4,Hybrid (Open Choice),
Journal of Housing and the Built Environment,PE OF,10901,1566-4910,1573-7772,Springer,English,1,34,4,Hybrid (Open Choice),
Journal of Human Genetics,PE OF,10038,1434-5161,1435-232X,Springer Nature,English,1,64,12,Hybrid (Open Choice),Online version only available through an institutional license. 
Journal of Human Hypertension,PE,41371,0950-9240,1476-5527,Springer Nature,English,1,33,12,Hybrid (Open Choice),Online version only available through an institutional license. 
Journal of Human Rights and Social Work,E OF,41134,,2365-1792,Springer,English,1,4,4,Hybrid (Open Choice),Available in electronic format only. 
Journal of Hydrodynamics,PE,42241,1001-6058,1878-0342,Springer,English,1,31,6,Hybrid (Open Choice),"Take-over in 2018. Former publisher: Elsevier. Chinese Library of Science. Springer owns exclusive distribution rights for print version of the journal outside Mainland China, for electronic version worldwide. "
Journal of Iberian Geology,PE OF S,41513,1698-6180,1886-7995,Springer,English,1,45,4,Hybrid (Open Choice),
Journal of Immigrant and Minority Health,PE OF,10903,1557-1912,1557-1920,Springer,English,1,21,6,Hybrid (Open Choice),
Journal of Inclusion Phenomena and Macrocyclic Chemistry,PE OF,10847,1388-3127,1573-1111,Springer,English,3,93-95,4,Hybrid (Open Choice),
Journal of Indian Council of Philosophical Research,PE OF,40961,0970-7794,2363-9962,Springer,English,1,36,3,Hybrid (Open Choice),
Journal of the Indian Institute of Science,PE OF,41745,0970-4140,0019-4964,Springer,English,1,99,4,Hybrid (Open Choice),
Journal of Indian Philosophy,PE OF,10781,0022-1791,1573-0395,Springer,English,1,47,5,Hybrid (Open Choice),
Journal of the Indian Society for Probability and Statistics,E,41096,,2364-9569,Springer,English,1,20,2,Hybrid (Open Choice),Available in electronic format only. 
Journal of the Indian Society of Remote Sensing,PE OF,12524,0255-660X,0974-3006,Springer,English,1,47,12,Hybrid (Open Choice),
Journal of Industrial Microbiology & Biotechnology,PE OF S,10295,1367-5435,1476-5535,Springer,English,1,46,12,Hybrid (Open Choice),
"Journal of Industry, Competition and Trade",PE OF,10842,1566-1679,1573-7012,Springer,English,1,19,4,Hybrid (Open Choice),
"Journal of Infrared, Millimeter, and Terahertz Waves",PE OF,10762,1866-6892,1866-6906,Springer,English,1,40,12,Hybrid (Open Choice),
Journal of Inorganic and Organometallic Polymers and Materials,PE OF,10904,1574-1443,1574-1451,Springer,English,1,29,6,Hybrid (Open Choice),
Journal of Insect Behavior,PE OF S,10905,0892-7553,1572-8889,Springer,English,1,32,6,Hybrid (Open Choice),
Journal of Insect Conservation,PE OF S,10841,1366-638X,1572-9753,Springer,English,1,23,6,Hybrid (Open Choice),
Journal of The Institution of Engineers (India): Series A,PE OF,40030,2250-2149,2250-2157,Springer,English,1,100,4,Hybrid (Open Choice),
Journal of The Institution of Engineers (India): Series B,PE OF,40031,2250-2106,2250-2114,Springer,English,1,100,6,Hybrid (Open Choice),
Journal of The Institution of Engineers (India): Series C,PE OF,40032,2250-0545,2250-0553,Springer,English,1,100,6,Hybrid (Open Choice),
Journal of The Institution of Engineers (India): Series D,PE OF,40033,2250-2122,2250-2130,Springer,English,1,100,2,Hybrid (Open Choice),
Journal of The Institution of Engineers (India): Series E,PE OF,40034,2250-2483,2250-2491,Springer,English,1,100,2,Hybrid (Open Choice),
Journal of Intelligent Information Systems,PE OF,10844,0925-9902,1573-7675,Springer,English,2,52-53,3,Hybrid (Open Choice),
Journal of Intelligent Manufacturing,PE OF,10845,0956-5515,1572-8145,Springer,English,1,30,8,Hybrid (Open Choice),
Journal of Intelligent & Robotic Systems,PE OF,10846,0921-0296,1573-0409,Springer,English,4,93-96,4,Hybrid (Open Choice),
Journal of International Business Policy,PE OF,42214,2522-0691,2522-0705,Palgrave Macmillan,English,1,2,4,Hybrid (Open Choice),New Start in 2018. 
Journal of International Business Studies,PE OF,41267,0047-2506,1478-6990,Palgrave Macmillan,English,1,50,9,Hybrid (Open Choice),Online version only available through an institutional license. 
Journal of International Entrepreneurship,PE OF,10843,1570-7385,1573-7349,Springer,English,1,17,4,Hybrid (Open Choice),
Journal of International Migration and Integration,PE OF,12134,1488-3473,1874-6365,Springer,English,1,20,4,Hybrid (Open Choice),
Journal of Interventional Cardiac Electrophysiology,PE OF S,10840,1383-875X,1572-8595,Springer,English,3,54-56,3,Hybrid (Open Choice),
Journal of the Iranian Chemical Society,PE OF,13738,1735-207X,1735-2428,Springer,English,1,16,12,Hybrid (Open Choice),
Journal of Iron and Steel Research International,PE OF,42243,1006-706X,2210-3988,Springer,English,1,26,12,Hybrid (Open Choice),"Take-over in 2018. Former publisher: Elsevier. Chinese Library of Science. Exclusive Distribution rights for print Version outside Mainland China, for electronic Version worldwide."
Journal für Klinische Endokrinologie und Stoffwechsel,PE OF,41969,1998-7773,1998-7781,SpringerMedizin,German,1,12,4,Hybrid (Open Choice),
Journal of the Knowledge Economy,E OF,13132,,1868-7873,Springer,English,1,10,4,Hybrid (Open Choice),
Journal of the Korean Physical Society,PE,40042,0374-4884,1976-8524,"The Korean Physical Society, co-published with Springer",English,2,74-75,12,Hybrid (Open Choice),
Journal of Labor Research,PE,12122,0195-3613,1936-4768,Springer,English,1,40,4,Hybrid (Open Choice),
"Journal of Logic, Language and Information",PE OF,10849,0925-8531,1572-9583,Springer,English,1,28,4,Hybrid (Open Choice),
Journal of Low Temperature Physics,PE,10909,0022-2291,1573-7357,Springer,English,4,194-197,6,Hybrid (Open Choice),
Journal of Mammalian Evolution,PE OF S,10914,1064-7554,1573-7055,Springer,English,1,26,4,Hybrid (Open Choice),
Journal of Mammary Gland Biology and Neoplasia,PE OF,10911,1083-3021,1573-7039,Springer,English,1,24,4,Hybrid (Open Choice),
Journal of Management Control,PE OF,187,2191-4761,2191-477X,Springer,English,1,30,4,Hybrid (Open Choice),
Journal of Management and Governance,PE OF,10997,1385-3457,1572-963X,Springer,English,1,23,4,Hybrid (Open Choice),
Journal of Marine Science and Application,PE,11804,1671-9433,1993-5048,"Harbin Engineering University, co-published with Springer",English,1,18,4,Hybrid (Open Choice),Chinese Library of Science. 
Journal of Marine Science and Technology,PE OF S,773,0948-4280,1437-8213,Springer,English,1,24,4,Hybrid (Open Choice),
Journal of Maritime Archaeology,PE OF S,11457,1557-2285,1557-2293,Springer,English,1,14,3,Hybrid (Open Choice),
Journal of Marketing Analytics,PE,41270,2050-3318,2050-3326,Palgrave Macmillan,English,1,7,4,Hybrid (Open Choice),Online version only available through an institutional license. 
Journal of Material Cycles and Waste Management,E OF S,10163,,1611-8227,Springer,English,1,21,6,Hybrid (Open Choice),Print subscription no longer available. 
Journal of Materials Engineering and Performance,PE OF,11665,1059-9495,1544-1024,Springer,English,1,28,12,Hybrid (Open Choice),
Journal of Materials Science,PE OF,10853,0022-2461,1573-4803,Springer,English,1,54,24,Hybrid (Open Choice),
Journal of Materials Science: Materials in Electronics,PE OF,10854,0957-4522,1573-482X,Springer,English,1,30,24,Hybrid (Open Choice),
Journal of Materials Science: Materials in Medicine,PE S C,10856,0957-4530,1573-4838,Springer,English,1,30,12,Hybrid (Open Choice),
Journal of Mathematical Biology,PE OF S,285,0303-6812,1432-1416,Springer,English,2,78-79,7,Hybrid (Open Choice),
Journal of Mathematical Chemistry,PE OF,10910,0259-9791,1572-8897,Springer,English,1,57,10,Hybrid (Open Choice),
Journal of Mathematical Fluid Mechanics,PE C,21,,1422-6952,Birkhäuser,English,1,21,4,Hybrid (Open Choice),
Journal of Mathematical Imaging and Vision,PE OF,10851,0924-9907,1573-7683,Springer,English,1,61,9,Hybrid (Open Choice),
Journal of Mathematics Teacher Education,PE OF,10857,1386-4416,1573-1820,Springer,English,1,22,6,Hybrid (Open Choice),
Journal für Mathematik-Didaktik,PE OF,13138,0173-5322,1869-2699,Springer,German,1,40,2,Hybrid (Open Choice),
Journal of Maxillofacial and Oral Surgery,PE OF,12663,0972-8279,0974-942X,Springer,English,1,18,4,Hybrid (Open Choice),
Journal of Medical and Biological Engineering,PE OF,40846,1609-0985,2199-4757,Springer,English,1,39,6,Hybrid (Open Choice),
Journal of Medical Humanities,PE OF,10912,1041-3545,1573-3645,Springer,English,1,40,4,Hybrid (Open Choice),
Journal of Medical Systems,E S C,10916,,1573-689X,Springer,English,1,43,12,Hybrid (Open Choice),
Journal of Medical Toxicology,E OF,13181,,1937-6995,Springer,English,1,15,4,Hybrid (Open Choice),
Journal of Medical Ultrasonics,PE OF S,10396,1346-4523,1613-2254,Springer,English,1,46,4,Hybrid (Open Choice),
The Journal of Membrane Biology,E OF S,232,,1432-1424,Springer,English,1,252,6,Hybrid (Open Choice),
Journal of Membrane Computing,PE OF,41965,2523-8906,2523-8914,Springer,English,1,1,4,Hybrid (Open Choice),New Start in 2019. 
Journal of Micro-Bio Robotics,E OF,12213,,2194-6426,Springer,English,1,15,2,Hybrid (Open Choice),
Journal für Mineralstoffwechsel & Muskuloskelettale Erkrankungen,PE OF,41970,2412-8260,2412-8287,SpringerMedizin,German,1,26,4,Hybrid (Open Choice),
Journal of Molecular Evolution,PE OF S,239,0022-2844,1432-1432,Springer,English,1,87,10,Hybrid (Open Choice),
Journal of Molecular Histology,PE OF,10735,1567-2379,1567-2387,Springer,English,1,50,6,Hybrid (Open Choice),
Journal of Molecular Medicine,PE OF S,109,0946-2716,1432-1440,Springer,English,1,97,12,Hybrid (Open Choice),
Journal of Molecular Modeling,PE S C,894,1610-2940,0948-5023,Springer,English,1,25,12,Hybrid (Open Choice),
Journal of Molecular Neuroscience,PE OF S,12031,0895-8696,1559-1166,Humana Press,English,3,67-69,4,Hybrid (Open Choice),
Journal of Mountain Science,PE,11629,1672-6316,1993-0321,"Science Press, co-published with Springer",English,1,16,12,Hybrid (Open Choice),Chinese Library of Science. 
Journal on Multimodal User Interfaces,PE OF,12193,1783-7677,1783-8738,Springer,English,1,13,4,Hybrid (Open Choice),
Journal of Muscle Research and Cell Motility,PE OF,10974,0142-4319,1573-2657,Springer,English,1,40,4,Hybrid (Open Choice),
Journal of Nanoparticle Research,PE S C,11051,1388-0764,1572-896X,Springer,English,1,21,12,Hybrid (Open Choice),
Journal of Natural Medicines,PE OF S,11418,1340-3443,1861-0293,Springer,English,1,73,4,Hybrid (Open Choice),
Journal of Nephrology,E OF S,40620,,1724-6059,Springer,English,1,32,6,Hybrid (Open Choice),Available in electronic format only. 
Journal of Network and Systems Management,PE OF,10922,1064-7570,1573-7705,Springer,English,1,27,4,Hybrid (Open Choice),
Journal of Neural Transmission,PE OF S,702,0300-9564,1435-1463,Springer,English,1,126,12,Hybrid (Open Choice),
Journal of Neuroimmune Pharmacology,PE OF,11481,1557-1890,1557-1904,Springer,English,1,14,4,Hybrid (Open Choice),
Journal of Neurology,PE OF S,415,0340-5354,1432-1459,Springer,English,1,266,12,Hybrid (Open Choice),
Journal of Neuro-Oncology,E OF,11060,,1573-7373,Springer,English,5,141-145,3,Hybrid (Open Choice),
Journal of NeuroVirology,PE OF S,13365,1355-0284,1538-2443,Springer,English,1,25,6,Hybrid (Open Choice),
Journal of Nondestructive Evaluation,PE C,10921,0195-9298,1573-4862,Springer,English,1,38,4,Hybrid (Open Choice),
Journal of Nonlinear Science,PE OF,332,0938-8974,1432-1467,Springer,English,1,29,6,Hybrid (Open Choice),
Journal of Nonverbal Behavior,PE OF,10919,0191-5886,1573-3653,Springer,English,1,43,4,Hybrid (Open Choice),
Journal of Nuclear Cardiology,PE OF S,12350,1071-3581,1532-6551,Springer,English,1,26,6,Hybrid (Open Choice),
"The journal of nutrition, health & aging",E OF,12603,,1760-4788,Serdi-Editions,English,1,23,10,Hybrid (Open Choice),
The Journal of Obstetrics and Gynecology of India,PE OF,13224,0971-9202,0975-6434,Springer,English,1,69,6,Hybrid (Open Choice),
Journal of Occupational Rehabilitation,PE OF,10926,1053-0487,1573-3688,Springer,English,1,29,4,Hybrid (Open Choice),
Journal of Ocean Engineering and Marine Energy,PE,40722,2198-6444,2198-6452,Springer,English,1,5,4,Hybrid (Open Choice),
Journal of Ocean University of China,PE,11802,1672-5182,1993-5021,"Science Press, co-published with Springer",English,1,18,6,Hybrid (Open Choice),Chinese Library of Science. 
Journal of Oceanography,PE OF S,10872,0916-8370,1573-868X,Springer,English,1,75,6,Hybrid (Open Choice),
Journal of Oceanology and Limnology,PE,343,2096-5508,2523-3521,"Science Press, co-published with Springer",English,1,37,6,Hybrid (Open Choice),Chinese Library of Science. 
Journal of the Operations Research Society of China,PE OF,40305,2194-668X,2194-6698,"Operations Research Society of China, co-published with Springer",English,1,7,4,Hybrid (Open Choice),Chinese Library of Science. 
Journal of Optics,PE OF,12596,0972-8821,0974-6900,Springer,English,1,48,4,Hybrid (Open Choice),
Journal of Optimization Theory and Applications,PE OF,10957,0022-3239,1573-2878,Springer,English,4,180-183,3,Hybrid (Open Choice),
Journal of Ornithology,PE OF S,10336,2193-7192,2193-7206,Springer,English,1,160,4,Hybrid (Open Choice),
Journal of Orofacial Orthopedics / Fortschritte der Kieferorthopädie,PE OF S,56,1434-5293,1615-6714,SpringerMedizin,English,1,80,6,Hybrid (Open Choice),
Journal of Outdoor and Environmental Education,PE OF,42322,2206-3110,2522-879X,Springer,English,1,22,3,Hybrid (Open Choice),Take-over in 2018. Former publisher: Outdoor Council of Australia. 
Journal of Packaging Technology and Research,PE OF,41783,2520-1034,2520-1042,Springer,English,1,3,3,Hybrid (Open Choice),
Journal of Paleolimnology,PE OF,10933,0921-2728,1573-0417,Springer,English,2,61-62,4,Hybrid (Open Choice),
Journal of Paleolithic Archaeology,E,41982,,2520-8217,Springer,English,1,2,4,Hybrid (Open Choice),New Start in 2018. Available in electronic format only. 
Journal of Parasitic Diseases,PE,12639,0971-7196,0975-0703,Springer,English,1,43,4,Hybrid (Open Choice),
Journal of Pediatric Endoscopic Surgery,PE,42804,2524-7875,2524-7883,Springer,English,1,1,4,Hybrid (Open Choice),Addendum Journals List: New Start in 2019. 
Journal of Pediatric Neuropsychology,E,40817,,2199-2673,Springer,English,1,5,4,Hybrid (Open Choice),Available in electronic format only. 
Journal of Peridynamics and Nonlocal Modeling,PE OF S,42102,2522-896X,2522-8978,Springer,English,1,1,2,Hybrid (Open Choice),Addendum Journals List:New Start in 2019. 
Journal of Perinatology,PE,41372,0743-8346,1476-5543,Springer Nature,English,1,39,12,Hybrid (Open Choice),Online version only available through an institutional license. 
Journal of Pest Science,PE OF S,10340,1612-4758,1612-4766,Springer,English,1,92,4,Hybrid (Open Choice),
Journal of Pharmaceutical Innovation,E OF,12247,,1939-8042,Springer,English,1,14,4,Hybrid (Open Choice),
Journal of Pharmaceutical Investigation,PE OF,40005,2093-5552,2093-6214,Springer,English,1,49,6,Hybrid (Open Choice),Korean Program. 
Journal of Pharmacokinetics and Pharmacodynamics,PE OF,10928,1567-567X,1573-8744,Springer,English,1,46,6,Hybrid (Open Choice),
Journal of Phase Equilibria and Diffusion,PE OF,11669,1547-7037,1863-7345,Springer,English,1,40,6,Hybrid (Open Choice),
Journal of Philosophical Logic,PE OF,10992,0022-3611,1573-0433,Springer,English,1,48,6,Hybrid (Open Choice),
The Journal of Physiological Sciences,PE OF S,12576,1880-6546,1880-6562,Springer,English,1,69,6,Hybrid (Open Choice),
Journal of Physiology and Biochemistry,PE OF S,13105,1138-7548,1877-8755,Springer,English,1,75,4,Hybrid (Open Choice),
Journal of Plant Biochemistry and Biotechnology,PE OF,13562,0971-7811,0974-1275,Springer,English,1,28,4,Hybrid (Open Choice),
Journal of Plant Biology,PE,12374,1226-9239,1867-0725,Springer,English,1,62,6,Hybrid (Open Choice),Korean Program. 
Journal of Plant Diseases and Protection,PE OF S,41348,1861-3829,1861-3837,Springer,English,1,126,6,Hybrid (Open Choice),
Journal of Plant Growth Regulation,PE OF,344,0721-7595,1435-8107,Springer,English,1,38,4,Hybrid (Open Choice),
Journal of Plant Pathology,E OF S,42161,,2239-7264,Springer,English,1,101,4,Hybrid (Open Choice),Take-over in 2018. Former publisher: Società Italiana di Patologia Vegetale. Available in electronic format only. 
Journal of Plant Research,PE OF S,10265,0918-9440,1618-0860,Springer,English,1,132,6,Hybrid (Open Choice),
Journal of Police and Criminal Psychology,PE OF,11896,0882-0783,1936-6469,Springer,English,1,34,4,Hybrid (Open Choice),
Journal of Polymer Research,PE C,10965,1022-9760,1572-8935,Springer,English,1,26,12,Hybrid (Open Choice),Korean Program. 
Journal of Polymers and the Environment,PE OF,10924,1566-2543,1572-8919,Springer,English,1,27,12,Hybrid (Open Choice),
Journal of Population Ageing,PE OF,12062,1874-7884,1874-7876,Springer,English,1,12,4,Hybrid (Open Choice),Print subscription no longer available. 
Journal of Population Economics,PE OF S,148,0933-1433,1432-1475,Springer,English,1,32,4,Hybrid (Open Choice),
Journal of Population Research,PE OF,12546,1443-2447,1835-9469,Springer,English,1,36,4,Hybrid (Open Choice),
